state,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
Alabama,16.1,5,13
Alaska,10.5,5,12
Arizona,12.8,4,15
Arkansas,16.3,3,16
California,12.3,5,14
Colorado,9.7,6,9
Connecticut,10.1,4,16
Delaware,11.6,2,21
District of Columbia,16.5,5,13
Florida,13.1,4,18
Georgia,14,7,17
Hawaii,11.2,2,15
Idaho,11,3,13
Illinois,12.1,4,10
Indiana,12.2,6,12
Iowa,11.1,3,10
Kansas,11.7,4,16
Kentucky,16.5,5,16
Louisiana,19.6,8,20
Maine,11.5,1,11
Maryland,10.3,5,16
Massachusetts,10.4,4,10
Michigan,13.1,5,13
Minnesota,9.3,2,8
Mississippi,19.4,11,21
Missouri,12.7,7,12
Montana,11.9,3,12
Nebraska,10.8,3,14
Nevada,14.1,6,18
New Hampshire,7.2,1,11
New Jersey,10.2,4,16
New Mexico,18.4,7,17
New York,13.9,6,13
North Carolina,13.4,3,14
North Dakota,11.1,3,10
Ohio,13.4,4,13
Oklahoma,15.6,5,21
Oregon,12.2,2,11
Pennsylvania,12.1,3,14
Puerto Rico,40.5,10,16
Rhode Island,11.4,4,12
South Carolina,14.6,6,16
South Dakota,12.3,4,13
Tennessee,13.6,5,13
Texas,14.2,6,18
US,12.8,5,14
Utah,8.6,1,11
Vermont,10.3,3,7
Virginia,10.2,2,8
Washington,9.9,2,13
West Virginia,16.8,3,12
Wisconsin,10.8,2,9
Wyoming,11.4,1,13
